"","id","chlA.ugml","chlB.ugml","chlA.gml","chlB.gml","chlA.g","chlB.g","chlA.gm2","chlB.gm2","chlA.mmolm2","chlB.mmolm2","chl.mmolm2","chlA.chlB"
"1","1",3.55664333333333,1.02199666666667,3.55664333333333e-06,1.02199666666667e-06,3.55664333333333e-05,1.02199666666667e-05,0.115250918124865,0.0331171959386476,0.128986713215146,0.036493984306531,0.165480697521677,3.48009289006161
"2","10",3.22138,0.96347,3.22138e-06,9.6347e-07,3.22138e-05,9.6347e-06,0.120515525626637,0.0360445192667415,0.13487876534861,0.039719791581806,0.174598556930416,3.34351873955598
"3","11",3.92334,1.12143,3.92334e-06,1.12143e-06,3.92334e-05,1.12143e-05,0.127215953307393,0.0363628404669261,0.142377761085375,0.0400705703405358,0.18244833142591,3.49851528851556
"4","12",3.98091666666667,1.16458333333333,3.98091666666667e-06,1.16458333333333e-06,3.98091666666667e-05,1.16458333333333e-05,0.128086121836122,0.0374705062205062,0.143351637738942,0.0412911790147401,0.184642816753682,3.41831842576029
"5","13",3.90532333333333,1.11563666666667,3.90532333333333e-06,1.11563666666667e-06,3.90532333333333e-05,1.11563666666667e-05,0.124333757826595,0.0355185185185185,0.139152060778944,0.0391401572707842,0.178292218049728,3.50053332775605
"6","14",3.89244333333333,1.05297666666667,3.89244333333333e-06,1.05297666666667e-06,3.89244333333333e-05,1.05297666666667e-05,0.130138526691185,0.0352048367324195,0.145648651600077,0.0387944909830842,0.184443142583161,3.69660929491948
"7","15",3.88324333333333,1.11161666666667,3.88324333333333e-06,1.11161666666667e-06,3.88324333333333e-05,1.11161666666667e-05,0.122693312269616,0.0351221695629279,0.137316104206574,0.0387033946719207,0.176019498878494,3.49332953506155
"8","16",3.59022333333333,0.952716666666666,3.59022333333333e-06,9.52716666666666e-07,3.59022333333333e-05,9.52716666666666e-06,0.121005167958656,0.0321104370295472,0.135426764063812,0.0353845714233498,0.170811335487161,3.76840613683677
"9","17",3.79139666666667,1.06976333333333,3.79139666666667e-06,1.06976333333333e-06,3.79139666666667e-05,1.06976333333333e-05,0.121949072584968,0.0344085986919695,0.136483164805059,0.0379170646875043,0.174400229492563,3.54414527823911
"10","18",3.12769333333333,0.860966666666666,3.12769333333333e-06,8.60966666666666e-07,3.12769333333333e-05,8.60966666666666e-06,0.106384126984127,0.0292845804988662,0.119063163237263,0.0322705769875216,0.151333740224785,3.63276936776492
"11","19",3.70813666666667,0.949053333333333,3.70813666666667e-06,9.49053333333333e-07,3.70813666666667e-05,9.49053333333333e-06,0.12418408126814,0.031783433802188,0.138984545520632,0.0350242253762526,0.174008770896885,3.90719524016915
"12","2",3.49446666666667,1.00816333333333,3.49446666666667e-06,1.00816333333333e-06,3.49446666666667e-05,1.00816333333333e-05,0.114987386201601,0.0331741801031041,0.128691773121287,0.0365567788501042,0.165248551971391,3.4661711561288
"13","20",3.63591666666667,1.19224333333333,3.63591666666667e-06,1.19224333333333e-06,3.63591666666667e-05,1.19224333333333e-05,0.116872924033001,0.0383234758384228,0.130802032470819,0.0422311215119208,0.173033153982739,3.04964310976786
"14","21",3.7444,1.10393,3.7444e-06,1.10393e-06,3.7444e-05,1.10393e-05,0.114402688664833,0.033728383745799,0.128037390364779,0.0371674917581837,0.165204882122962,3.39188173163153
"15","22",3.85694666666667,1.01384333333333,3.85694666666667e-06,1.01384333333333e-06,3.85694666666667e-05,1.01384333333333e-05,0.120491929605332,0.0316727064459023,0.134852357114449,0.0349022077268696,0.169754564841319,3.80428271297669
"16","23",4.00813333333333,1.11173666666667,4.00813333333333e-06,1.11173666666667e-06,4.00813333333333e-05,1.11173666666667e-05,0.131199127114021,0.0363907255864702,0.146835656135937,0.0401012987608078,0.186936954896744,3.60529022160524
"17","24",3.72937333333333,1.15145666666667,3.72937333333333e-06,1.15145666666667e-06,3.72937333333333e-05,1.15145666666667e-05,0.117275890985325,0.0362093291404612,0.131253025691179,0.0399014062618723,0.171154431953051,3.23883081430188
"18","25",4.0687,1.20821,4.0687e-06,1.20821e-06,4.0687e-05,1.20821e-05,0.130742287917738,0.0388242287917738,0.146324370088458,0.0427829336416342,0.189107303730092,3.36754372170401
"19","26",4.66716,1.30209,4.66716e-06,1.30209e-06,4.66716e-05,1.30209e-05,0.146351834430856,0.0408306679209784,0.163794288179042,0.0449939589418695,0.208788247120912,3.5843605280741
